country,country_code,year,arrivals,extracted_at
Canada,CAN,2019,32430000,2026-02-02 15:17:18.773737
United Kingdom,GBR,2020,11101000,2026-02-02 15:17:19.762061
United Kingdom,GBR,2019,40857000,2026-02-02 15:17:19.762065
Germany,DEU,2020,12449000,2026-02-02 15:17:21.049050
Germany,DEU,2019,39563000,2026-02-02 15:17:21.049056
France,FRA,2020,117109000,2026-02-02 15:17:22.169148
France,FRA,2019,217877000,2026-02-02 15:17:22.169160
Mexico,MEX,2020,51128000,2026-02-02 15:18:04.494486
Mexico,MEX,2019,97406000,2026-02-02 15:18:04.494492
